city,lat,lng,max_temp,humidity,cloudiness,wind speed,country,date
Necochea,-38.5473,-58.7368,66.99,89,91,11.01,AR,1613344279
Lemta,35.6667,10.8833,50.0,66,40,24.16,TN,1613344572
Kānt,27.8,79.8,56.17,47,28,4.94,IN,1613344572
Shubarkuduk,49.1447,56.4872,22.86,92,100,10.71,KZ,1613344572
Øystese,60.3882,6.1925,42.8,33,75,24.16,NO,1613344572
Río Gallegos,-51.6226,-69.2181,59.0,31,40,19.57,AR,1613344572
Vanimo,-2.6741,141.3028,79.23,85,100,9.13,PG,1613344573
San Patricio,28.017,-97.5169,33.8,93,90,14.97,US,1613344573
Bridlington,54.0831,-0.1919,35.01,88,100,18.99,GB,1613344573
Nakhon Phanom,17.3333,104.4167,64.78,75,65,4.74,TH,1613344573
Bambous Virieux,-20.3428,57.7575,77.0,88,20,3.44,MU,1613344573
Sibi,29.5448,67.8764,64.6,26,0,2.06,PK,1613344573
Chicama,-7.8447,-79.1469,71.6,88,40,9.22,PE,1613344573
Tiksi,71.6872,128.8694,-20.16,88,100,5.99,RU,1613344573
Saint-Pierre,-21.3393,55.4781,77.0,78,20,4.61,RE,1613344574
Airai,-8.9266,125.4092,62.76,100,70,1.01,TL,1613344574
Windhoek,-22.5594,17.0832,64.4,68,31,3.44,NA,1613344574
Ol'ga,43.7444,135.2892,26.44,97,100,8.72,RU,1613344574
Vieste,41.8825,16.175,37.4,52,20,3.44,IT,1613344574
Bereda,43.2686,-7.5406,62.01,45,100,1.99,ES,1613344574
Palmer,42.1584,-72.3287,33.8,64,90,4.61,US,1613344574
Yilan,24.757,121.753,59.0,99,0,3.74,TW,1613344575
Kosa,59.9445,54.9977,-1.73,93,98,4.81,RU,1613344575
Miles City,46.4083,-105.8406,1.4,51,1,12.66,US,1613344575
Port Macquarie,-31.4333,152.9167,73.4,68,40,17.27,AU,1613344575
Trelew,-43.249,-65.3051,59.94,56,47,24.36,AR,1613344575
Port-Gentil,-0.7193,8.7815,82.4,83,20,6.91,GA,1613344575
Alofi,-19.0595,-169.9187,86.0,62,40,9.22,NU,1613344575
Nantai,40.9241,122.8044,10.27,84,3,13.29,CN,1613344575
Treinta y Tres,-33.2333,-54.3833,71.76,83,91,7.63,UY,1613344576
Devonport,-41.1667,146.35,66.0,71,69,1.01,AU,1613344514
Marawi,7.9986,124.2928,73.0,95,22,5.01,PH,1613344576
Bengkulu,-3.8004,102.2655,75.61,87,28,4.21,ID,1613344576
Boueni,-12.9025,45.0761,80.6,89,90,1.14,YT,1613344576
Khatanga,71.9667,102.5,-36.58,83,71,1.99,RU,1613344576
Ahmadpur,18.7,76.9333,68.58,32,0,8.46,IN,1613344576
Broken Hill,-31.95,141.4333,68.0,40,0,10.36,AU,1613344577
Oromocto,45.8351,-66.4792,21.2,58,90,2.3,CA,1613344577
Vestmannaeyjar,63.4427,-20.2734,41.7,84,98,6.44,IS,1613344577
Ixtapa,20.7,-105.2,72.0,68,90,6.91,MX,1613344577
Sørkjosen,69.8,20.9333,33.19,92,100,15.37,NO,1613344577
Morondava,-20.2833,44.2833,75.83,92,100,16.82,MG,1613344577
Dombås,62.0696,9.1235,2.37,64,49,4.36,NO,1613344577
Aleksandrovsk-Sakhalinskiy,50.8975,142.1561,11.32,93,90,4.16,RU,1613344577
Gubkinskiy,64.434,76.5026,-17.1,88,100,21.9,RU,1613344577
Balabac,7.9868,117.0645,78.01,77,96,11.18,PH,1613344578
Te Anau,-45.4167,167.7167,60.89,74,80,1.05,NZ,1613344578
Wenatchee,47.4235,-120.3103,28.99,70,100,3.78,US,1613344578
La Rioja,42.25,-2.5,46.4,87,75,16.11,ES,1613344578
Straumen,63.8709,11.2999,30.99,79,0,9.22,NO,1613344578
Sharjah city,25.3573,55.4033,66.2,88,0,2.3,AE,1613344578
Paso de los Toros,-32.8167,-56.5167,70.05,84,94,3.13,UY,1613344316
Ballina,-28.8667,153.5667,71.01,78,75,10.36,AU,1613344578
